geoid,doc,dentist,pop
17031210602,6,4,4683
17031210700,0,0,4309
17031210800,0,2,1196
17031210900,0,1,3068
17031220300,0,1,2102
17031220400,1,0,2495
17031220500,6,7,2626
17031220601,3,2,1766
17031220602,2,0,5064
17031220701,7,5,3437
17031220702,0,0,4060
17031220901,0,0,3498
17031220902,0,2,3371
17031221000,0,0,2923
17031221100,2,2,4870
17031221200,0,0,2860
17031221300,3,3,3222
17031221400,0,1,3020
17031221500,0,0,2829
17031221600,0,3,2969
17031222200,0,1,1912
17031222500,0,1,1410
17031222600,3,2,1602
17031222700,0,0,2235
17031222800,0,0,1074
17031222900,0,0,1244
17031230100,0,0,1623
17031230200,2,2,2107
17031230300,0,0,1024
17031230400,1,0,2609
17031230500,0,0,3570
17031230600,3,5,6818
17031230700,1,4,6364
17031230800,0,0,1314
17031230900,1,2,5399
17031231100,0,0,1236
17031231200,2,1,6095
17031231500,3,1,6039
17031240200,0,2,1452
17031240300,0,2,1317
17031240500,0,0,2251
17031240600,0,2,1457
17031240700,9,2,1535
17031240800,0,0,1617
17031240900,16,1,1182
17031241000,0,0,2047
17031241100,4,1,3682
17031241200,40,4,1696
17031241300,0,0,1857
17031241400,3,4,4595
17031241500,3,3,2872
17031241600,0,9,3477
17031242000,2,2,4565
17031242100,0,2,3648
17031242200,2,3,3590
17031242300,1,2,3240
17031242400,26,5,2764
17031242500,0,0,3438
17031242600,3,3,5831
17031242700,0,0,2029
17031242800,2,0,1436
17031242900,1,2,1670
17031243000,0,0,2204
17031243100,0,0,2242
17031243200,8,2,2170
17031243300,0,0,2386
17031243400,0,0,3001
17031243500,1,0,2937
17031250200,0,0,2669
17031250300,0,0,4725
17031250400,2,0,5887
17031250500,9,6,7538
17031250600,1,0,4422
17031250700,1,0,6098
17031250800,0,0,2488
17031251000,0,0,1181
17031251100,8,2,4302
17031251200,0,0,4196
17031251300,0,1,4921
17031251400,0,0,3983
17031251500,0,0,4784
17031251600,0,1,3649
17031251700,0,0,1495
17031251800,2,0,5112
17031251900,6,2,5731
17031252000,7,0,5719
