geoid,pop
17097861506,5381
17097861507,3115
17097861508,3604
17097861509,3340
17097861510,4901
17097861603,5899
17097861604,5745
17097861607,4442
17097861608,3454
17097861609,4844
17097861610,3513
17097861611,4655
17097861701,1754
17097861702,4148
17097861803,6903
17097861804,3680
17097861901,3788
17097861902,6428
17097862000,5844
17097862100,5159
17097862200,4103
17097862300,3033
17097862401,3766
17097862402,3341
17097862501,3992
17097862502,2532
17097862603,6809
17097862604,4938
17097862605,4367
17097862700,4323
17097862800,1922
17097862901,3766
17097862902,2741
17097863003,7829
17097863004,4578
17097863005,4407
17097863006,0
17097863100,2476
17097863201,3443
17097863202,5093
17097863300,2736
17097863400,4257
17097863500,4243
17097863601,3555
17097863603,3656
17097863604,2916
17097863701,4500
17097863702,3742
17097863801,4690
17097863902,5533
17097863903,4388
17097863904,6011
17097864001,6360
17097864002,6283
17097864101,11442
17097864105,6008
17097864106,4087
17097864107,4901
17097864108,5740
17097864203,4336
17097864204,4795
17097864205,9075
17097864206,3524
17097864303,4522
17097864305,3851
17097864306,2269
17097864307,1861
17097864308,4323
17097864402,7277
17097864403,5206
17097864407,5669
17097864408,5743
17097864409,4631
17097864410,5219
17097864411,4912
17097864412,4156
17097864505,6493
17097864510,4160
17097864511,6564
17097864512,4576
17097864513,5188
17097864514,2474
17097864515,2874
17097864516,4581
17097864517,2932
17097864518,5514
17097864519,4869
17097864520,5268
17097864521,2511
17097864522,4705
17097864601,3733
17097864602,3955
17097864700,2976
17097864801,5536
17097864802,2661
17097864901,4294
17097864903,4829
17097864904,2404
17097865000,1363
17097865200,5715
17097865300,3297
17097865400,4232
17097865501,2367
